geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
AA20071	25.2480103636071	25.2480103636071	-80.6101947704426	-80.6101947704426
AA20184	25.237193116803	25.237193116803	-80.6176759150408	-80.6176759150408
AA20040	25.1784939739075	25.1784939739075	-80.6178592423078	-80.6178592423078
AA20077	25.1883911642178	25.1883911642178	-80.6039335271047	-80.6039335271047
AA20208	25.200164989647	25.200164989647	-80.6167990423503	-80.6167990423503
AA20124	25.2150538922246	25.2150538922246	-80.6122852473375	-80.6122852473375
AA20084	25.2181828842674	25.2181828842674	-80.6003625686573	-80.6003625686573
AA20087	25.2009948114138	25.2009948114138	-80.5895002063714	-80.5895002063714
AA20301	25.2073051627489	25.2073051627489	-80.5855084817647	-80.5855084817647
AA20207	25.2022740535402	25.2022740535402	-80.5631920503674	-80.5631920503674
AA20225	25.2090440513526	25.2090440513526	-80.5621752367044	-80.5621752367044
AA20116	25.2312500642192	25.2312500642192	-80.5903915101933	-80.5903915101933
AA20239	25.2370906661157	25.2370906661157	-80.5799466772243	-80.5799466772243
AA20089	25.2452665611179	25.2452665611179	-80.597295175649	-80.597295175649
AA20258	25.2470807666199	25.2470807666199	-80.6002680885742	-80.6002680885742
AA20227	25.2560827357267	25.2560827357267	-80.5898117366723	-80.5898117366723
AA20173	25.2845150127389	25.2845150127389	-80.5847498218355	-80.5847498218355
AA20067	25.2858876189243	25.2858876189243	-80.5912014631574	-80.5912014631574
AA20254	25.2886022638963	25.2886022638963	-80.593178966115	-80.593178966115
AA20186	25.2790336040337	25.2790336040337	-80.5629175925791	-80.5629175925791
AA20104	25.2798718561486	25.2798718561486	-80.5415602033232	-80.5415602033232
AA20078	25.2793605002417	25.2793605002417	-80.5226909202981	-80.5226909202981
AA20002	25.2219829886825	25.2219829886825	-80.5124911667689	-80.5124911667689
AA20238	25.2274353039345	25.2274353039345	-80.5228938072995	-80.5228938072995
AA20176	25.2414752548408	25.2414752548408	-80.5362433287835	-80.5362433287835
AA20220	25.2442167695533	25.2442167695533	-80.5466587542939	-80.5466587542939
AA20118	25.2586957319854	25.2586957319854	-80.5565355603695	-80.5565355603695
AA20187	25.261404883098	25.261404883098	-80.5565257203705	-80.5565257203705
AA20228	25.2613883761238	25.2613883761238	-80.5510638570876	-80.5510638570876
AA20055	25.269073325123	25.269073325123	-80.5540150108123	-80.5540150108123
AA20061	25.2668512253317	25.2668512253317	-80.5659405935386	-80.5659405935386
AA20237	25.2646238886198	25.2646238886198	-80.5763761136616	-80.5763761136616
AA20058	25.2577049704633	25.2577049704633	-80.5282373479347	-80.5282373479347
AA20057	25.2761673910034	25.2761673910034	-80.5127714731592	-80.5127714731592
AA20143	25.2838416096675	25.2838416096675	-80.5122441921564	-80.5122441921564
AA20005	25.2734318197303	25.2734318197303	-80.5048370297883	-80.5048370297883
AA20253	25.2693497055641	25.2693497055641	-80.4993913396521	-80.4993913396521
AA20045	25.2635149199272	25.2635149199272	-80.5098427120326	-80.5098427120326
AA20050	25.2621320885714	25.2621320885714	-80.5014070958967	-80.5014070958967
AA20245	25.2000923186745	25.2000923186745	-80.4505425990284	-80.4505425990284
AA20088	25.2084091804503	25.2084091804503	-80.5041077908983	-80.5041077908983
AA20043	25.208360210222	25.208360210222	-80.4897146954712	-80.4897146954712
AA20133	25.2128547707282	25.2128547707282	-80.4837398941302	-80.4837398941302
AA20056	25.2210216202374	25.2210216202374	-80.4951219722558	-80.4951219722558
AA20200	25.2431815123807	25.2431815123807	-80.5054561484349	-80.5054561484349
AA20112	25.2476884071079	25.2476884071079	-80.5029555026012	-80.5029555026012
AA20317	25.2431266721943	25.2431266721943	-80.4925352590704	-80.4925352590704
AA20174	25.250806767079	25.250806767079	-80.490530493344	-80.490530493344
AA20164	25.2548323678175	25.2548323678175	-80.479590511332	-80.479590511332
AA20218	25.2588696110849	25.2588696110849	-80.4721254369461	-80.4721254369461
AA20101	25.2520753988981	25.2520753988981	-80.4661968453916	-80.4661968453916
AA20146	25.2466117862651	25.2466117862651	-80.4538088724147	-80.4538088724147
AA20041	25.2484233625794	25.2484233625794	-80.4552902158524	-80.4552902158524
AA20316	25.2543028945873	25.2543028945873	-80.4562535291878	-80.4562535291878
AA20230	25.2547132480732	25.2547132480732	-80.4468215559972	-80.4468215559972
AA20064	25.2678623363642	25.2678623363642	-80.4616587753538	-80.4616587753538
AA20060	25.2697272649664	25.2697272649664	-80.4780373074613	-80.4780373074613
AA20233	25.2769533268321	25.2769533268321	-80.4785029944468	-80.4785029944468
AA30017	25.397970727395	25.397970727395	-81.0595930166618	-81.0595930166618
AA30005	25.3853354813768	25.3853354813768	-81.0362252858144	-81.0362252858144
AA30023	25.4061012731208	25.4061012731208	-81.0516427898256	-81.0516427898256
AA30037	25.4155755373883	25.4155755373883	-81.0705395738612	-81.0705395738612
AA30036	25.4155637237919	25.4155637237919	-81.0919181962363	-81.0919181962363
AA30034	25.4133035395036	25.4133035395036	-81.0958938272326	-81.0958938272326
AA30051	25.4354237048717	25.4354237048717	-81.1028729536342	-81.1028729536342
AA30054	25.4422077703362	25.4422077703362	-81.0854736831967	-81.0854736831967
AA30052	25.4358972717547	25.4358972717547	-81.0640870111546	-81.0640870111546
AA30048	25.4313904647299	25.4313904647299	-81.0402169851866	-81.0402169851866
AA30050	25.4354540800401	25.4354540800401	-81.0407155934914	-81.0407155934914
AA30056	25.4426800559723	25.4426800559723	-81.0347505553386	-81.0347505553386
AA30137	25.2290093560696	25.2290093560696	-81.1712039748049	-81.1712039748049
AA30147	25.2357881019247	25.2357881019247	-81.1662490412801	-81.1662490412801
AA30144	25.233556251694	25.233556251694	-81.1414243129941	-81.1414243129941
AA30156	25.2502523112577	25.2502523112577	-81.1523666766439	-81.1523666766439
AA30158	25.2507147141243	25.2507147141243	-81.1414441725985	-81.1414441725985
AA30150	25.2430477379724	25.2430477379724	-81.1315058432163	-81.1315058432163
AA30152	25.2448578027124	25.2448578027124	-81.1270394703704	-81.1270394703704
AA30161	25.2520866043787	25.2520866043787	-81.122081892537	-81.122081892537
AA30171	25.2651844333909	25.2651844333909	-81.1181224855848	-81.1181224855848
AA30169	25.2642785363219	25.2642785363219	-81.121597523245	-81.121597523245
AA30168	25.2642608405065	25.2642608405065	-81.1414598640873	-81.1414598640873
AA30175	25.2723739986351	25.2723739986351	-81.1558704280384	-81.1558704280384
AA30182	25.2768856479848	25.2768856479848	-81.1593524612989	-81.1593524612989
AA30181	25.2787178669193	25.2787178669193	-81.1330341220856	-81.1330341220856
AA30177	25.2728659674169	25.2728659674169	-81.1111776017878	-81.1111776017878
AA30011	25.3970736534855	25.3970736534855	-80.9576866836345	-80.9576866836345
